2019-02-26 13:51:53 504   CTraderSpi::ReqQryInvestorPosition	 [Info] InstrumentID,BrokerID,InvestorID,PosiDirection,HedgeFlag,PositionDate,YdPosition,Position,LongFrozen,ShortFrozen,LongFrozenAmount,ShortFrozenAmount,OpenVolume,CloseVolume,OpenAmount,CloseAmount,PositionCost,PreMargin,UseMargin,FrozenMargin,FrozenCash,FrozenCommission,CashIn,Commission,CloseProfit,PositionProfit,PreSettlementPrice,SettlementPrice,TradingDay,SettlementID,OpenCost,ExchangeMargin,CombPosition,CombLongFrozen,CombShortFrozen,CloseProfitByDate,CloseProfitByTrade,TodayPosition,MarginRateByMoney,MarginRateByVolume
2019-02-26 13:51:54 269   CTraderSpi::OnRspQryInvestorPositionCombineDetail	 [Info] BrokerID,CombInstrumentID,ComTradeID,Direction,ExchangeID,ExchMargin,HedgeFlag,InstrumentID,InvestorID,LegID,LegMultiple,Margin,MarginRateByMoney,MarginRateByVolume,OpenDate,SettlementID,TotalAmt,TradeID,TradingDay
2019-02-26 13:51:54 269   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:54 269   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:54 269   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:54 269   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:54 269   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:54 269   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:55 394   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:55 394   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:55 394   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:55 394   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:55 394   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:55 394   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:55 394   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:16 527   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10060
2019-02-26 13:52:21 209   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 209   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 209   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:52:21 209   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:21 209   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 209   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:52:21 209   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:21 695   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 695   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 695   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:52:21 695   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:21 695   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 695   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:52:21 695   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:21 867   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 867   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 867   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:52:21 867   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:21 867   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:21 867   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:52:21 867   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:22 023   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:22 023   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:22 023   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:52:22 023   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:22 023   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:22 179   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:22 179   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:52:22 350   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:52:22 491   CTraderSpi::ReqUserLogout	 [Info] 登陆请求成功
2019-02-26 13:52:22 647   CTraderSpi::ReqUserLogout	 [Info] 登陆请求成功
2019-02-26 13:52:22 819   CTraderSpi::ReqUserLogout	 [Info] 登陆请求成功
